id	label
CamdenMarket1_EQR_720p_0000	audio from video
CamdenMarket1_EQR_720p_0001	audio from video
CamdenMarket1_EQR_720p_0002	audio from video
CamdenMarket1_EQR_720p_0003	audio from video
CamdenMarket1_EQR_720p_0004	audio from video
CamdenMarket1_EQR_720p_0005	audio from video
CamdenMarket1_EQR_720p_0006	audio from video
CamdenMarket1_EQR_720p_0007	audio from video
CamdenMarket1_EQR_720p_0008	audio from video
CamdenMarket1_EQR_720p_0009	audio from video
CamdenMarket1_EQR_720p_0010	audio from video
CamdenMarket1_EQR_720p_0011	audio from video
CamdenMarket1_EQR_720p_0012	audio from video
CamdenMarket1_EQR_720p_0013	audio from video
CamdenMarket1_EQR_720p_0014	audio from video
