id	label
CamdenMarket1_EQR_720p_0000	audio from video
CamdenMarket1_EQR_720p_0001	audio from video
CamdenMarket1_EQR_720p_0002	audio from video
CamdenMarket1_EQR_720p_0003	audio from video
CamdenMarket1_EQR_720p_0004	audio from video
CamdenMarket1_EQR_720p_0005	audio from video
CamdenMarket1_EQR_720p_0006	audio from video
CamdenMarket1_EQR_720p_0007	audio from video
CamdenMarket1_EQR_720p_0008	audio from video
CamdenMarket1_EQR_720p_0009	audio from video
CamdenMarket1_EQR_720p_0010	audio from video
CamdenMarket1_EQR_720p_0011	audio from video
CamdenMarket1_EQR_720p_0012	audio from video
CamdenMarket1_EQR_720p_0013	audio from video
CamdenMarket1_EQR_720p_0014	audio from video
CamdenMarket1_EQR_720p_0015	audio from video
CamdenMarket1_EQR_720p_0016	audio from video
CamdenMarket1_EQR_720p_0017	audio from video
CamdenMarket1_EQR_720p_0018	audio from video
CamdenMarket1_EQR_720p_0019	audio from video
CamdenMarket1_EQR_720p_0020	audio from video
CamdenMarket1_EQR_720p_0021	audio from video
CamdenMarket1_EQR_720p_0022	audio from video
CamdenMarket1_EQR_720p_0023	audio from video
CamdenMarket1_EQR_720p_0024	audio from video
CamdenMarket1_EQR_720p_0025	audio from video
CamdenMarket1_EQR_720p_0026	audio from video
CamdenMarket1_EQR_720p_0027	audio from video
CamdenMarket1_EQR_720p_0028	audio from video
CamdenMarket1_EQR_720p_0029	audio from video
CamdenMarket1_EQR_720p_0030	audio from video
CamdenMarket1_EQR_720p_0031	audio from video
CamdenMarket1_EQR_720p_0032	audio from video
CamdenMarket1_EQR_720p_0033	audio from video
CamdenMarket1_EQR_720p_0034	audio from video
CamdenMarket1_EQR_720p_0035	audio from video
CamdenMarket1_EQR_720p_0036	audio from video
CamdenMarket1_EQR_720p_0037	audio from video
CamdenMarket1_EQR_720p_0038	audio from video
CamdenMarket1_EQR_720p_0039	audio from video
CamdenMarket1_EQR_720p_0040	audio from video
CamdenMarket1_EQR_720p_0041	audio from video
CamdenMarket1_EQR_720p_0042	audio from video
CamdenMarket1_EQR_720p_0043	audio from video
CamdenMarket1_EQR_720p_0044	audio from video
CamdenMarket1_EQR_720p_0045	audio from video
CamdenMarket1_EQR_720p_0046	audio from video
CamdenMarket1_EQR_720p_0047	audio from video
CamdenMarket1_EQR_720p_0048	audio from video
CamdenMarket1_EQR_720p_0049	audio from video
CamdenMarket1_EQR_720p_0050	audio from video
CamdenMarket1_EQR_720p_0051	audio from video
CamdenMarket1_EQR_720p_0052	audio from video
CamdenMarket1_EQR_720p_0053	audio from video
CamdenMarket1_EQR_720p_0054	audio from video
CamdenMarket1_EQR_720p_0055	audio from video
CamdenMarket1_EQR_720p_0056	audio from video
CamdenMarket1_EQR_720p_0057	audio from video
CamdenMarket1_EQR_720p_0058	audio from video
CamdenMarket1_EQR_720p_0059	audio from video
CamdenMarket1_EQR_720p_0060	audio from video
CamdenMarket1_EQR_720p_0061	audio from video
CamdenMarket1_EQR_720p_0062	audio from video
CamdenMarket1_EQR_720p_0063	audio from video
CamdenMarket1_EQR_720p_0064	audio from video
CamdenMarket1_EQR_720p_0065	audio from video
CamdenMarket1_EQR_720p_0066	audio from video
CamdenMarket1_EQR_720p_0067	audio from video
